"USR999","USR","ユーザー小グループ",,"使用停止","UGR999","","","","",""
"USR608","USR","ユーザー小グループ",,"スタッフ検査＋放射線","UGR600","","","","",""
"CANCEL8","RSV","キャンセル理由",07-02-08,"妊娠のため","","7","","","",""
"FSINDAN003","FC1","頚部細胞診-診断",,"2003","","","","","",""
"FSINDAN001","FC1","頚部細胞診-診断",,"2001","","","","","",""
"FSINDAN002","FC1","頚部細胞診-診断",,"2002","","","","","",""
"FSINDAN004","FC1","頚部細胞診-診断",,"2004","","","","","",""
"FSINDAN005","FC1","頚部細胞診-診断",,"2005","","","","","",""
"FSINDAN006","FC1","頚部細胞診-診断",,"2006","","","","","",""
"FSINDAN007","FC1","頚部細胞診-診断",,"2007","","","","","",""
"FSINDAN011","FC1","頚部細胞診-診断",,"2011","","","","","",""
"FSINDAN012","FC1","頚部細胞診-診断",,"2012","","","","","",""
"FSINDAN013","FC1","頚部細胞診-診断",,"2013","","","","","",""
"FSINDAN014","FC1","頚部細胞診-診断",,"2014","","","","","",""
"FSINDAN015","FC1","頚部細胞診-診断",,"2015","","","","","",""
"FSINDAN016","FC1","頚部細胞診-診断",,"2016","","","","","",""
"FSINDAN017","FC1","頚部細胞診-診断",,"2017","","","","","",""
"FSINDAN171","FC1","頚部細胞診-診断",,"2171","","","","","",""
"FSINDAN172","FC1","頚部細胞診-診断",,"2172","","","","","",""
"FSINDAN173","FC1","頚部細胞診-診断",,"2173","","","","","",""
"FSINDAN174","FC1","頚部細胞診-診断",,"2174","","","","","",""
"FSINDAN175","FC1","頚部細胞診-診断",,"2175","","","","","",""
"FSINDAN176","FC1","頚部細胞診-診断",,"2176","","","","","",""
"FSINDAN177","FC1","頚部細胞診-診断",,"2177","","","","","",""
"FSINDAN181","FC1","頚部細胞診-診断",,"2181","","","","","",""
"FSINDAN182","FC1","頚部細胞診-診断",,"2182","","","","","",""
"FSINDAN183","FC1","頚部細胞診-診断",,"2183","","","","","",""
"FSINDAN184","FC1","頚部細胞診-診断",,"2184","","","","","",""
"FSINDAN185","FC1","頚部細胞診-診断",,"2185","","","","","",""
"FSINDAN186","FC1","頚部細胞診-診断",,"2186","","","","","",""
"FSINDAN187","FC1","頚部細胞診-診断",,"2187","","","","","",""
"FSINDAN251","FC1","頚部細胞診-診断",,"2251","","","","","",""
"FSINDAN252","FC1","頚部細胞診-診断",,"2252","","","","","",""
"FSINDAN253","FC1","頚部細胞診-診断",,"2253","","","","","",""
"FSINDAN254","FC1","頚部細胞診-診断",,"2254","","","","","",""
"FSINDAN256","FC1","頚部細胞診-診断",,"2256","","","","","",""
"FSINDAN257","FC1","頚部細胞診-診断",,"2257","","","","","",""
"YUDOCS023","YDC","誘導対象コース",,"133","","","","","",""
"FSINDAN091","FC1","頚部細胞診-診断",,"2091","","","","","",""
"FSINDAN092","FC1","頚部細胞診-診断",,"2092","","","","","",""
"FSINDAN093","FC1","頚部細胞診-診断",,"2093","","","","","",""
"FSINDAN094","FC1","頚部細胞診-診断",,"2094","","","","","",""
"FSINDAN095","FC1","頚部細胞診-診断",,"2095","","","","","",""
"FSINDAN096","FC1","頚部細胞診-診断",,"2096","","","","","",""
"FSINDAN097","FC1","頚部細胞診-診断",,"2097","","","","","",""
"FSINDAN131","FC1","頚部細胞診-診断",,"2131","","","","","",""
"FSINDAN132","FC1","頚部細胞診-診断",,"2132","","","","","",""
"FSINDAN133","FC1","頚部細胞診-診断",,"2133","","","","","",""
"FSINDAN134","FC1","頚部細胞診-診断",,"2134","","","","","",""
"FSINDAN135","FC1","頚部細胞診-診断",,"2135","","","","","",""
"FSINDAN136","FC1","頚部細胞診-診断",,"2136","","","","","",""
"FSINDAN137","FC1","頚部細胞診-診断",,"2137","","","","","",""
"FSINDAN081","FC2","頚部細胞診-診断",,"2081","","","","","",""
"FSINDAN082","FC2","頚部細胞診-診断",,"2082","","","","","",""
"FSINDAN083","FC2","頚部細胞診-診断",,"2083","","","","","",""
"FSINDAN084","FC2","頚部細胞診-診断",,"2084","","","","","",""
"FSINDAN085","FC2","頚部細胞診-診断",,"2085","","","","","",""
"FSINDAN086","FC2","頚部細胞診-診断",,"2086","","","","","",""
"FSINDAN087","FC2","頚部細胞診-診断",,"2087","","","","","",""
"FCLASS001","FC3","婦人科クラス分類",,"1028","","","","","",""
"FCLASS002","FC3","婦人科クラス分類",,"1029","","","","","",""
"FCLASS003","FC3","婦人科クラス分類",,"1030","","","","","",""
"FCLASS004","FC3","婦人科クラス分類",,"1031","","","","","",""
"FCLASS005","FC3","婦人科クラス分類",,"1032","","","","","",""
"FCLASS006","FC3","婦人科クラス分類",,"1033","","","","","",""
"FCLASS007","FC3","婦人科クラス分類",,"1034","","","","","",""
"FCLASS008","FC3","婦人科クラス分類",,"1035","","","","","",""
"FCLASS009","FC3","婦人科クラス分類",,"1097","","","","","",""
"FCLASS010","FC3","婦人科クラス分類",,"1098","","","","","",""
"FSINDAN008","FC1","頚部細胞診-診断",,"2008","","","","","",""
"FSINDAN018","FC1","頚部細胞診-診断",,"2018","","","","","",""
"FSINDAN178","FC1","頚部細胞診-診断",,"2178","","","","","",""
"FSINDAN188","FC1","頚部細胞診-診断",,"2188","","","","","",""
"YUDOCS024","YDC","誘導対象コース",,"231","","","","","",""
"FSINDAN098","FC1","頚部細胞診-診断",,"2098","","","","","",""
"FSINDAN138","FC1","頚部細胞診-診断",,"2138","","","","","",""
"FSINDAN088","FC2","頚部細胞診-診断",,"2088","","","","","",""
"PATIENT05","PAT","個人票対象コース",,"133","","","","","",""
"SCHEDULE273","SCD","スケジュール表印刷",,"273","乳癌検診-14:15","","","","",""
"SCHEDULE274","SCD","スケジュール表印刷",,"274","乳癌検診-14:45","","","","",""
"LST003009","LST","成績書今回対象コース",,"231","中央区乳癌検診","","","","",""
"SCHEDULE190","SCD","スケジュール表印刷",,"190","レジデンス簡易健診","","","","",""
"SPTZK002","SPT","成績書過去結果出力団体",,"99999-60000","レジデンス","ZZ","","","",""
"LST0030091","LST","成績書今回対象コース",,"133","レジデンス簡易健診","","","","",""
"LST003017","LST","成績書過去歴対象コース",,"133","レジデンス簡易健診","","","","",""
"METACMT001","MTA","自動判定チェック用メタボリックシンドロームコメント",,"105001","","","","","",""
"METACMT002","MTA","自動判定チェック用メタボリックシンドロームコメント",,"105002","","","","","",""
"METACMT003","MTA","自動判定チェック用メタボリックシンドロームコメント",,"105003","","","","","",""
"METACMT004","MTA","自動判定チェック用メタボリックシンドロームコメント",,"105004","","","","","",""
"METACMT005","MTA","自動判定チェック用メタボリックシンドロームコメント",,"105005","","","","","",""
"METACMT006","MTA","自動判定チェック用メタボリックシンドロームコメント",,"105006","","","","","",""
"METACMT101","SMO","自動判定チェック用喫煙コメント",,"106001","","","","","",""
"METACMT102","SMO","自動判定チェック用喫煙コメント",,"106002","","","","","",""
"SMK63070001","SMK","喫煙メッセージ",,"106001","","","","","",""
"LIMIT001","LMT","セット分類別限度額負担内訳表示名",,"GI","","","","","",""
"LIMIT002","LMT","セット分類別限度額負担内訳表示名",,"GF","","","","","",""
"LIMIT003","LMT","セット分類別限度額負担内訳表示名",,"後日GF","","","","","",""
"LIMIT007","LMT","セット分類別限度額負担内訳表示名",,"OPCT","","","","","",""
"LIMIT008","LMT","セット分類別限度額負担内訳表示名",,"OPCT・喀痰","","","","","",""
"LO3200800000","LTO","限度額詳細表示対象団体",,"1","三井物産（本人）","","","","",""
"USR504","USR","ユーザー小グループ",,"リーダ","UGR500","","","","",""
"GYNECLASS02","GYN","子宮細胞診結果コード",,"1031","クラス－Ⅱ","","","","",""
"GYNECLASS03","GYN","子宮細胞診結果コード",,"1032","クラス－Ⅲa","","","","",""
"GYNECLASS04","GYN","子宮細胞診結果コード",,"1033","クラス－Ⅲb","","","","",""
"GYNECLASS05","GYN","子宮細胞診結果コード",,"1034","クラス－Ⅳ","","","","",""
"GYNECLASS06","GYN","子宮細胞診結果コード",,"1035","クラス－Ⅴ","","","","",""
"GYNECLASS07","GYN","子宮細胞診結果コード",,"1097","クラス－Ⅱb","","","","",""
"GYNECLASS08","GYN","子宮細胞診結果コード",,"1098","クラス－Ⅲ","","","","",""
"GYNECLASS00","GYN","子宮細胞診結果コード",,"1028","判定できず","","","","",""
"PATIENT06","PAT","個人票対象コース",,"240","","","","","",""
"SCHEDULE700","SCD","スケジュール表印刷",,"700","後日女性セット","","","","",""
"LIMIT013","LMT","セット分類別限度額負担内訳表示名",,"OPCF","","","","","",""
"SCHEDULE67","SCD","スケジュール表印刷",,"67","特定保健指導（積極的）","","","","",""
"YUDOCS026","YDC","誘導対象コース",,"131","","","","","",""
"LST0000217","LST","オプション検査",,"076","HPV","HPV","","","",""
"CHGPERID08","CHP","個人ID変更情報",,"297636","10582789","10582789","8663368","","",""
"OPT009","OPT","オプション検査面接表示名称",,"09","ＨＰＶ","X664","","","",""
"CHGPERID07","CHP","個人ID変更情報",,"518971","8583532","8583532","10261424","","",""
"YUDOCS025","YDC","誘導対象コース",,"132","","","","","",""
"LO3200800002","LTO","限度額詳細表示対象団体",,"1","三井物産（家族）","","","","",""
"CHGPERID09","CHP","個人ID変更情報",,"494420","10041631","10041631","9889510","","",""
"MENU020","PGM","メニューグループ",,"フォローアップ","H","101","","","",""
"YUDOCS027","YDC","誘導対象コース",,"105","","","","","",""
"CHGPERID10","CHP","個人ID変更情報",,"321948","10039300","10039300","8843764","","",""
"LST0000203","LST","予約確認はがき対象コース",,"105","","","","","",""
"LST0000503","LST","ご案内書対象コース",,"105","","","","","",""
"LST0000602","LST","送付チェックリスト",,"105","","","","","",""
"LST0000903","LST","対象コース",,"105","","","","","",""
"LST0000403","LST","受診予定者チェックシート",,"105","","","","","",""
"LST0001003","LST","対象コース",,"105","","","","","",""
"LST0001104","LST","対象コース",,"105","","","","","",""
"LST0001304","LST","対象コース",,"105","","","","","",""
"LST0001403","LST","受診予定者チェックシート",,"105","","","","","",""
"LST0001903","LST","オプション検査",,"105","","","","","",""
"LST0003103","LST","請求書（２次検査請求書で使用）",,"105","","","","","",""
"LST0004112","LST","Ns対象コース",,"105","","","","","",""
"LST0004203","LST","ワークシート個人票チェックリスト",,"105","","","","","",""
"LST0005503","LST","オプション・コース利用状況対象コース３",,"105","","","","","",""
"LST00060206","LST","Ｘ線実施状況（年）抽出コース",,"105","","","","","",""
"LST00060306","LST","Ｘ線実施状況（月）抽出コース",,"105","","","","","",""
"LST0007803","LST","カンパニープロﾌｧｲﾙ対象コース３",,"105","","","","","",""
"LST0030011","LST","成績書今回対象コース",,"105","職員定期健康診断（ドック）","","","","",""
"LST003018","LST","成績書過去歴対象コース",,"105","職員定期健康診断（ドック）","","","","",""
"LST0042003","LST","面接・食事券",,"105","","","","","",""
"LST0050106","LST","３ヶ月推移　ドック対象コース",,"105","","","","","",""
"LST0000102","LST","１年目はがき出力対象コース",,"105","","","","","",""
"RSVSETGRP020","RSG","予約群セットグループ",,"職員健診（ドック）","","","","","",""
"CHGPERID11","CHP","個人ID変更情報",,"36076","10619351","10619351","3691911","","",""
"CHGPERID12","CHP","個人ID変更情報",,"44406","10619351","10619351","3691911","","",""
"CHGPERID13","CHP","個人ID変更情報",,"59167","10619351","10619351","3691911","","",""
"PATIENT07","PAT","個人票対象コース",,"105","","","","","",""
"SCHEDULE20","SCD","スケジュール表印刷",,"20","職員健診","","","","",""
"CSLCNTCS003","CCS","受診回数カウントコース",,"105","","","","","",""
"RPTSEND05","RPT","成績書HTML送信コース",,"105","","","","","",""
"UGR800","UGR","ユーザー大グループ",,"委託","","","","","",""
"USR801","USR","ユーザー小グループ",,"SV","UGR800","","","","",""
"USR806","USR","ユーザー小グループ",,"リーダ","UGR800","","","","",""
"USR811","USR","ユーザー小グループ",,"スタッフ","UGR800","","","","",""
"CSC0109","CSC","コースグループ",,"105","","","","","",""
"DISEASE110","GYN","現病歴コメント（婦人科関連）",,"102562","","","","","",""
"RPTV008","REP","成績書オプション管理コード",,"頸動脈超音波","2","34","X684","","",""
"RPTV009","REP","成績書オプション管理コード",,"動脈硬化","2","35","X685","","",""
"CSLDIV015","CDV","受診区分",,"標準","","","","","",""
"SPC0035","SPC","特定保健指導対象団体",,"19019","00003","40","74","電通健康保険組合（三者契約健診）","電通健康保険組合",""
"SPC0040","SPC","特定保健指導対象団体",,"01047","00000","40","74","ｱｰﾙ･ﾋﾞｰ・ｴｽ証券会社東京支店","外国運輸金融健康保険組合",""
"SPC0045","SPC","特定保健指導対象団体",,"06005","00000","40","74","外国運輸金融健康保険組合","外国運輸金融健康保険組合",""
"SPC0050","SPC","特定保健指導対象団体",,"06005","00003","40","74","アイエヌジーバンク・エヌ・ヴイ東京支店","外国運輸金融健康保険組合",""
"SPC0055","SPC","特定保健指導対象団体",,"06005","00004","40","74","エース損害保険株式会社","外国運輸金融健康保険組合",""
"SPC0095","SPC","特定保健指導対象団体",,"06005","00021","40","74","ﾌﾟﾙﾃﾞﾝｼｬﾙ･ｲﾝﾍﾞｽﾄﾒﾝﾄ･ﾏﾈｼﾞﾒﾝﾄ･ｼﾞｬﾊﾟﾝ株式会社","外国運輸金融健康保険組合",""
"SPC0100","SPC","特定保健指導対象団体",,"06005","00022","40","74","ブーズ・アンド・カンパニー株式会社","外国運輸金融健康保険組合",""
"SPC0115","SPC","特定保健指導対象団体",,"06005","00027","40","74","ブラックロック・ジャパン株式会社","外国運輸金融健康保険組合",""
"SPC0130","SPC","特定保健指導対象団体",,"08013","00000","40","74","クレディ・スイス銀行東京支店","外国運輸金融健康保険組合",""
"SPC0135","SPC","特定保健指導対象団体",,"31024","00000","40","74","マッコーリージャパン株式会社","外国運輸金融健康保険組合",""
"SPC0140","SPC","特定保健指導対象団体",,"43001","00001","40","74","ﾛｲﾔﾙﾊﾞﾝｸ･ｵﾌﾞ･ｽｺｯﾄﾗﾝﾄﾞ･ﾋﾟｰｴﾙｼｰ東京支店","外国運輸金融健康保険組合",""
"SCHD100220","SCD","スケジュール表検査項目",,"２０","聴診/触診","C","","","",""
"LST00002186","LST","オプション検査",,"087","動脈硬化、頸動脈超音波","Atherosclerosis,Carotid Ultrasound","","","",""
"SPC0062","SPC","特定保健指導対象団体",,"06005","00012","40","74","ナショナルオーストラリア銀行東京支店","外国運輸金融健康保険組合",""
"LST00002188","LST","オプション検査",,"089","抗核抗体検査","Antinuclear Antibody","","","",""
"SPC0071","SPC","特定保健指導対象団体",,"06005","00015","40","74","エア・カナダ","外国運輸金融健康保険組合",""
"SPC0131","SPC","特定保健指導対象団体",,"28039","00000","40","74","ファーストデータジャパン株式会社","外国運輸金融健康保険組合",""
"LIMIT086","LMT","セット分類別限度額負担内訳表示名",,"大腸CT","","","","","",""
"SCHEDULE265","SCD","スケジュール表印刷",,"265","深夜勤務者","","","","",""
"LST00002183","LST","オプション検査",,"083","頸動脈超音波","Carotid Ultrasound","","","",""
"LST00002184","LST","オプション検査",,"084","心不全スクリーニング","Heart failure screening","","","",""
"LST00002185","LST","オプション検査",,"085","内臓脂肪面積測定","Visceral FAT CT","","","",""
"RPTV010","REP","成績書オプション管理コード",,"内臓脂肪面積","2","36","X686","","",""
"YUDOCS029","YDC","誘導対象コース",,"243","","","","","",""
"SPTZK003","SPT","成績書過去結果出力団体",,"32008-00000","三井物産健康保険組合（本人）","ZZ","","","",""
"RPTV007","REP","成績書オプション管理コード",,"大腸３D-CT","2","33","X683","","",""
"SCHD100290","SCD","スケジュール表検査項目",,"","内視鏡","C","","","",""
"SCHD100140","SCD","スケジュール表検査項目",,"１０","骨密度","B","","","",""
"SCHD100250","SCD","スケジュール表検査項目",,"","胃X線","C","","","",""
"CSLDIV016","CDV","受診区分",,"後日GF","","","","","",""
"CSLDIV017","CDV","受診区分",,"フルオプション","","","","","",""
"USR405","USR","ユーザー小グループ",,"放射線科医＋技師","UGR400","","","","",""
"LOGPAYCSV","LOG","団体一括入金",,"","","","","","",""
"SPC0101","SPC","特定保健指導対象団体",,"06005","00023","40","74","リバティ･ミューチュアル･インシュアランス","外国運輸金融健康保険組合",""
"OPT015","OPT","オプション検査面接表示名称",,"15","婦人科超音波","X116","","","",""
"ORDDIV000020","ORD","婦人科超音波検査",,"6","2283701","","","","",""
"LOGRSVSEND","LOG","予約確認メール送信",,"","","","","","",""
"SPC0046","SPC","特定保健指導対象団体",,"06005","00001","40","74","ｱﾒﾘｶﾝ　ﾌﾟﾚｼﾞﾃﾞﾝﾄ　ﾗｲﾝｽﾞ　ﾘﾐﾃｯﾄﾞ","外国運輸金融健康保険組合",""
"USR906","USR","ユーザー小グループ",,"看護師","UGR900","","","","",""
"CSLDIV900","CDV","受診区分",,"メディローカス","","","","","",""
"USR901","USR","ユーザー小グループ",,"医師","UGR900","","","","",""
"USR916","USR","ユーザー小グループ",,"事務","UGR900","","","","",""
"BILLNOT008","BIL","請求情報抽出対象外団体",,"30014","00000","ボランティア","","","",""
"BILLNOT009","BIL","請求情報抽出対象外団体",,"17027","00000","中央区肺炎球菌予防接種助成","","","",""
"SPC0139","SPC","特定保健指導対象団体",,"43001","00000","40","74","ﾛｲﾔﾙﾊﾞﾝｸ･ｵﾌﾞ･ｽｺｯﾄﾗﾝﾄﾞ･ｻｰﾋﾞｽ東京支店","外国運輸金融健康保険組合",""
"DISEASE111","GYN","現病歴コメント（婦人科関連）",,"102576","","","","","",""
"WEBRSVOPT001","WOP","web予約オプション",,"C11","【女性向け】フルオプションコース（胃X線バリウム）","001","","","",""
"WEBRSVOPT002","WOP","web予約オプション",,"C12","【女性向け】フルオプションコース（胃内視鏡）","002","","","",""
"WEBRSVOPT003","WOP","web予約オプション",,"C13","【女性向け】胃X線バリウムコース","001","","","",""
"WEBRSVOPT004","WOP","web予約オプション",,"C14","【女性向け】胃内視鏡コース","002","","","",""
"WEBRSVOPT005","WOP","web予約オプション",,"C15","【女性向け】後日胃内視鏡コース","003","","","",""
"WEBRSVOPT006","WOP","web予約オプション",,"C21","【男性向け】フルオプションコース（胃X線バリウム）","001","","","",""
"WEBRSVOPT007","WOP","web予約オプション",,"C22","【男性向け】フルオプションコース（胃内視鏡）","002","","","",""
"WEBRSVOPT008","WOP","web予約オプション",,"C23","【男性向け】胃X線バリウムコース","001","","","",""
"WEBRSVOPT009","WOP","web予約オプション",,"C24","【男性向け】胃内視鏡コース","002","","","",""
"WEBRSVOPT010","WOP","web予約オプション",,"C25","【男性向け】後日胃内視鏡コース","003","","","",""
"WEBRSVOPT011","WOP","web予約オプション",,"C31","ペアで受診【男性＋女性】","","","","",""
"WEBRSVOPT012","WOP","web予約オプション",,"C32","ペアで受診【女性＋女性】","","","","",""
"WEBRSVOPT013","WOP","web予約オプション",,"C33","ペアで受診【男性＋男性】","","","","",""
"WEBRSVOPT014","WOP","web予約オプション",,"CL1","【男性向け】胃X線バリウムコース","001","","","",""
"WEBRSVOPT015","WOP","web予約オプション",,"CL2","【男性向け】胃内視鏡コース","002","","","",""
"WEBRSVOPT016","WOP","web予約オプション",,"CL3","【女性向け】胃X線バリウムコース","001","","","",""
"WEBRSVOPT017","WOP","web予約オプション",,"CL4","【女性向け】胃内視鏡コース","002","","","",""
"WEBRSVOPT018","WOP","web予約オプション",,"CF1","【男性向け】胃X線バリウムコース","001","","","",""
"WEBRSVOPT019","WOP","web予約オプション",,"CF2","【男性向け】胃内視鏡コース","002","","","",""
"WEBRSVOPT020","WOP","web予約オプション",,"CF3","【女性向け】胃X線バリウムコース","001","","","",""
"WEBRSVOPT021","WOP","web予約オプション",,"CF4","【女性向け】胃内視鏡コース","002","","","",""
"WEBRSVOPT022","WOP","web予約オプション",,"CC1","【男性向け】胃X線バリウムコース","001","","","",""
"WEBRSVOPT023","WOP","web予約オプション",,"CC2","【男性向け】胃内視鏡コース","002","","","",""
"WEBRSVOPT024","WOP","web予約オプション",,"CC3","【女性向け】胃X線バリウムコース","001","","","",""
"WEBRSVOPT025","WOP","web予約オプション",,"CC4","【女性向け】胃内視鏡コース","002","","","",""
"WEBRSVOPT026","WOP","web予約オプション",,"P01","胸部ＣＴ","007","","","",""
"WEBRSVOPT027","WOP","web予約オプション",,"P02","喀痰細胞診","006","","","",""
"WEBRSVOPT028","WOP","web予約オプション",,"P03","大腸内視鏡","013","","","",""
"WEBRSVOPT029","WOP","web予約オプション",,"P04","大腸３Ｄ－ＣＴ","086","","","",""
"WEBRSVOPT030","WOP","web予約オプション",,"P05","ＰＳＡ","043","","","",""
"WEBRSVOPT031","WOP","web予約オプション",,"P06","乳房Ｘ線","010","","","",""
"WEBRSVOPT032","WOP","web予約オプション",,"P07","乳房超音波","011","","","",""
"WEBRSVOPT033","WOP","web予約オプション",,"P08","婦人科検診","044","","","",""
"WEBRSVOPT034","WOP","web予約オプション",,"P09","婦人科超音波","088","","","",""
"WEBRSVOPT035","WOP","web予約オプション",,"P10","HPV","076","","","",""
"WEBRSVOPT036","WOP","web予約オプション",,"P11","頸動脈超音波","083","","","",""
